Country Name,Country Code,Year,"GDP per capita, PPP (constant 2011 international $)","Agriculture, forestry, and fishing, value added (% of GDP)",Rural population (% of total population),Rural population growth (annual %),Urban population (% of total),Urban population growth (annual %),Agricultural land (% of land area),Arable land (% of land area),Forest area (% of land area),"Agriculture, forestry, and fishing, value added per worker (constant 2010 US$)",Cereal yield (kg per hectare),"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)","Agriculture, forestry, and fishing, value added (annual % growth)",GDP growth (annual %),"GDP, PPP (constant 2011 international $)",Land under cereal production (hectares),Permanent cropland (% of land area)
High income,HIC,2009,38280.57313,1.296874345,19.97966877,-0.623750071,80.02033123,1.094595246,37.74724604,10.43458211,27.44637821,34455.44799,5261.504344,60.96896651,1.467445392,-3.425609572,4.56E+13,160092227,0.604696041
High income,HIC,2010,39286.93452,1.386843011,19.71089701,-0.68279295,80.28910299,1.009599422,37.44678961,10.34099045,27.4468595,34123.21614,5260.373412,42.06248158,-0.477904792,3.101926358,4.71E+13,154501942,0.601753364
High income,HIC,2011,39964.45137,1.467089227,19.5052899,-0.555624308,80.4947101,0.749974485,37.62099399,10.38022735,27.46913393,34928.06323,5274.78803,13.20784629,0.373127408,1.886972445,4.81E+13,156144802,0.594116585
High income,HIC,2012,40274.06792,1.416466869,19.33157671,-0.285826691,80.66842329,0.827326128,37.61250876,10.49516555,27.49343264,33939.33229,4888.897721,83.34107231,-4.219486408,1.265076346,4.88E+13,162661594,0.600596694
High income,HIC,2013,40642.5966,1.500577061,19.16279368,-0.265314236,80.83720632,0.823644083,37.27319418,10.36536552,27.51452583,37258.1024,5592.236094,108.3083452,6.969957169,1.449853238,4.96E+13,160701658,0.59318987
High income,HIC,2014,41232.47799,1.427062779,18.99516816,-0.256249572,81.00483184,0.832611573,37.53339548,10.43345606,27.53666459,38014.85338,5831.41614,52.86606571,2.4375037,1.993485737,5.06E+13,157071921,0.589242928
High income,HIC,2015,41979.59519,1.365634301,18.82291905,-0.306516847,81.17708095,0.819707687,36.40124063,10.33590277,27.55915316,38896.90822,5744.565245,77.93540425,2.224738081,2.35712744,5.18E+13,158636225,0.589099073
High income,HIC,2016,42456.89475,1.332476262,18.64931319,-0.328113441,81.35068681,0.814874034,36.50379707,10.43606272,27.57384231,39858.0946,5970.155322,NA,1.164471344,1.720725722,5.27E+13,156595698,0.582169147
High income,HIC,2017,43162.4334,NA,18.47280023,-0.415510478,81.52719977,0.754186874,NA,NA,NA,NA,6001.574999,NA,NA,2.217967638,5.39E+13,153818340,NA
Low income,LIC,2009,1669.221579,28.04400338,70.48275726,2.17951901,29.51724274,4.130849519,39.32775999,8.898304127,26.70943478,545.8560356,1371.003457,4.832977062,4.992118419,5.246034338,9.95E+11,65369739,0.851904201
Low income,LIC,2010,1743.650388,27.33069626,70.09528948,2.136272219,29.90471052,4.048991768,39.4940226,9.053557448,26.54655865,565.2117173,1379.936296,NA,4.787917013,7.251521266,1.07E+12,71503802,0.867951085
Low income,LIC,2011,1767.692287,26.76921509,69.76090219,2.161074986,30.23909781,3.798583294,39.68410553,9.212226614,26.40961859,564.2901806,1365.327396,NA,1.232266326,4.207465162,1.11E+12,69622189,0.901067995
Low income,LIC,2012,1788.474101,27.52488972,69.4480418,2.148751913,30.5519582,3.670541983,39.87328309,9.385519345,26.273155,587.4884044,1462.964216,NA,5.650774521,6.305273499,1.15E+12,73419208,0.918308676
Low income,LIC,2013,1851.248555,26.30487054,69.13092626,2.113179783,30.86907374,3.646342321,39.92861418,9.439175018,26.13668124,584.3653173,1425.319977,NA,2.016840379,5.601230084,1.22E+12,74657424,0.920486271
Low income,LIC,2014,1905.776793,25.75668806,68.79805125,2.079060363,31.20194875,3.679052234,39.9152102,9.422251313,26.00236238,599.2155423,1490.82839,NA,4.667094708,5.767302642,1.29E+12,74544643,0.921545856
Low income,LIC,2015,1911.167751,25.25609766,68.39972581,1.983039037,31.60027419,3.886440259,39.91535355,9.421981666,25.86587942,601.6885697,1539.575569,9.713293579,2.763094098,3.341828181,1.33E+12,71786465,0.921967164
Low income,LIC,2016,1913.733228,25.04819134,67.98585202,1.960098384,32.01414798,3.924310321,39.91535355,9.419452264,25.72940378,597.0822855,1495.42786,4.961822391,2.371215856,3.200678461,1.37E+12,74894609,0.924496566
Low income,LIC,2017,1961.62463,25.08765852,67.55731478,1.934029197,32.44268522,3.953760018,NA,NA,NA,NA,1514.780236,NA,4.40874182,5.073729148,1.44E+12,74760083,NA
Lower middle income,LMC,2009,4750.432679,16.70832676,63.60558587,0.889026849,36.39441413,2.739954567,45.45947105,18.81340757,29.29372499,1529.658827,2992.905171,2.506774396,1.960980328,4.896910429,1.25E+13,224301022,3.544881109
Lower middle income,LMC,2010,4997.657259,16.30798397,63.17990258,0.876760408,36.82009742,2.74427555,45.53997933,18.81313106,29.21275926,1606.561877,2998.654209,3.315577672,4.928932172,6.833594533,1.34E+13,227979520,3.629063149
Lower middle income,LMC,2011,5166.996331,16.36281304,62.75418283,0.86139845,37.24581717,2.719720626,45.75497235,18.95943951,29.10847333,1713.813557,3159.510573,3.687393645,4.825030012,5.030805164,1.41E+13,229693734,3.701915844
Lower middle income,LMC,2012,5353.111601,15.91943745,62.32609928,0.830623171,37.67390072,2.690026325,45.85335444,19.03914469,29.0044236,1804.634025,3135.503293,NA,3.12751447,5.199024081,1.48E+13,232301658,3.731194626
Lower middle income,LMC,2013,5569.477235,15.90765846,61.89161481,0.804135036,38.10838519,2.682500766,45.86764982,19.01767846,28.90025553,1877.323517,3159.922659,NA,4.571278468,5.623324058,1.56E+13,241505483,3.772181202
Lower middle income,LMC,2014,5803.973486,15.70313629,61.451399,0.767931503,38.548601,2.662174364,45.92556964,19.05012916,28.79607191,1907.769534,3177.864236,NA,2.046544959,5.658616914,1.65E+13,243544804,3.815457922
Lower middle income,LMC,2015,6054.049418,15.57177982,61.00347207,0.72992757,38.99652793,2.648607592,45.92922183,19.06223011,28.69181421,1959.262939,3182.884134,NA,2.297999945,5.571348979,1.75E+13,239601671,3.809161463
Lower middle income,LMC,2016,6321.485523,15.49073941,60.5500845,0.69056587,39.4499155,2.623947507,45.87388529,19.10143011,28.58751744,2027.210756,3200.38667,NA,3.865394481,5.563065244,1.85E+13,247388243,3.809668292
Lower middle income,LMC,2017,6592.50461,15.09214785,60.08959267,0.647195831,39.91040733,2.602338486,NA,NA,NA,NA,3287.675118,NA,4.012239544,5.538959344,1.96E+13,246622076,NA
Upper middle income,UMC,2009,11539.70926,7.243213204,41.61219609,-1.512662908,58.38780391,2.432839353,33.83566127,8.6373142,35.77791741,2816.861422,3666.569128,NA,2.384435555,1.730856629,2.80E+13,240934466,0.932940903
Upper middle income,UMC,2010,12323.62366,7.011539736,40.65199238,-1.575565431,59.34800762,2.406077408,33.93962685,8.591644145,35.78869163,3001.85059,3745.252958,23.56954409,3.408505023,7.465966479,3.01E+13,231817081,0.951038223
Upper middle income,UMC,2011,13007.52788,6.958535888,39.74092136,-1.49479566,60.25907864,2.310314881,33.94645462,8.604371539,35.78883923,3256.845619,3898.808317,NA,4.985578536,6.341956991,3.20E+13,240792990,0.97377116
Upper middle income,UMC,2012,13605.59239,6.885150047,38.85407657,-1.463627799,61.14592343,2.26874639,33.99385882,8.617648645,35.7897091,3443.689624,3887.769709,12.30482119,2.387428578,5.254455026,3.37E+13,239780563,0.99090422
Upper middle income,UMC,2013,14190.98903,6.897618947,37.97602976,-1.483276563,62.02397024,2.241932009,34.16035086,8.748362688,35.79177049,3800.73627,4048.696533,25.58717613,4.380853559,5.03641304,3.55E+13,247312054,0.994930417
Upper middle income,UMC,2014,14708.69908,6.78284733,37.10441952,-1.520948244,62.89558048,2.208812886,34.22069781,8.841428237,35.79232795,4154.45595,4087.110628,59.83817905,3.13438342,4.212848991,3.70E+13,248839036,0.997297168
Upper middle income,UMC,2015,15126.17581,6.790435383,36.24358342,-1.565229617,63.75641658,2.151985301,34.46208987,9.071963073,35.79283103,4329.262725,4200.16191,14.82570903,2.989923164,3.366849756,3.84E+13,255847299,1.012238484
Upper middle income,UMC,2016,15675.66519,6.7098762,35.3923991,-1.598649077,64.6076009,2.113204169,34.43239486,9.049509397,35.79332727,4532.998936,4207.098221,NA,1.919221407,3.935745128,4.01E+13,254456110,1.011176546
Upper middle income,UMC,2017,16324.0644,6.365789109,34.55388648,-1.633800629,65.44611352,2.060862803,NA,NA,NA,NA,4421.001898,NA,4.746829389,4.771082149,4.21E+13,256150141,NA
World,WLD,2009,12692.97928,3.698449648,48.83827189,0.203005261,51.16172811,2.232295148,37.41055878,10.77478485,30.89674808,2480.544964,3600.2198,37.41398542,2.102041796,-1.740728754,8.69E+13,690697454,1.232315533
World,WLD,2010,13197.04726,3.682661129,48.34044676,0.184898617,51.65955324,2.201514629,37.39758109,10.744319,30.86996409,2580.539166,3591.784095,18.43905656,2.88150329,4.358058072,9.15E+13,685802345,1.254223447
World,WLD,2011,13567.08533,3.729270045,47.8839683,0.230231903,52.1160317,2.079833441,37.50685772,10.80189208,30.84438914,2723.219572,3710.160897,8.918644485,3.654960491,3.151520987,9.52E+13,696253715,1.276948802
World,WLD,2012,13851.5545,3.652688027,47.43540323,0.256921454,52.56459677,2.076060576,37.56137604,10.87357545,30.81984683,2806.596307,3619.561754,23.02668791,1.096688121,2.521433319,9.83E+13,708163023,1.292854863
World,WLD,2013,14155.44037,3.70947294,46.98755455,0.249580672,53.01244545,2.067345187,37.54153222,10.89469371,30.79467396,2985.05769,3824.374277,28.79533945,4.960295486,2.653189354,1.02E+14,724176619,1.299035958
World,WLD,2014,14479.34045,3.61673394,46.53777362,0.231309599,53.46222638,2.058656791,37.65267937,10.95867533,30.76956804,3107.631459,3892.359702,52.9089308,2.6896761,2.842104882,1.05E+14,724000404,1.305745399
World,WLD,2015,14795.13829,3.547229739,46.08328753,0.197588456,53.91671247,2.04595167,37.4218188,11.03205286,30.74426441,3188.109933,3938.769657,16.33303125,2.59178989,2.860359509,1.09E+14,725871660,1.311321152
World,WLD,2016,15115.4806,3.554003844,45.62831422,0.177955775,54.37168578,2.030635039,37.43073967,11.05979188,30.71642094,3269.191492,3967.029197,4.961822391,2.341771922,2.587991206,1.13E+14,733334660,1.309119259
World,WLD,2017,15508.30051,NA,45.17570567,0.150786619,54.82429433,1.996224073,NA,NA,NA,NA,4074.175586,NA,4.093951272,3.153518781,1.17E+14,731350640,NA
